,hoi,end,Interviewer Name,Part 1 – Outlet Information,S1. City/Division,S2. Name of Outlet,S3. Outlet Address,S4. Land Mark,S5. Outlet Type,Part 2 – Main Questionnaire,Q1. Is Promo running in outlet?,Q1a. Why is Promo not running in Outlet?,Q1a. Why is Promo not running in Outlet?/Not Aware of Promo,Q1a. Why is Promo not running in Outlet?/I didn’t buy the Guinness FES/Smooth this week,Q1a. Why is Promo not running in Outlet?/I bought Guinness drinks but was not up to the required cases to run a promo,"Q1a. Why is Promo not running in Outlet?/I bought Guinness drinks, but my stock has not been delivered","Q1a. Why is Promo not running in Outlet?/I bought the required cases of Guinness drinks this week, but I didn’t get the free airtime to give out",Q1a. Why is Promo not running in Outlet?/The promo has already happened in this outlet earlier today.,"Q1a. Why is Promo not running in Outlet?/I have the free airtime, but promo will happen later this week.",Q1a. Why is Promo not running in Outlet?/BA was not available,Q1a. Why is Promo not running in Outlet?/Others,Others specify,Q1a. Why is Promo not running in Outlet?.1,Q1a. Why is Promo not running in Outlet?/Not Aware of Promo.1,Q1a. Why is Promo not running in Outlet?/I didn’t buy the Guinness FES/Smooth this week.1,Q1a. Why is Promo not running in Outlet?/I bought Guinness drinks but was not up to the required cases to run a promo.1,"Q1a. Why is Promo not running in Outlet?/I bought Guinness drinks, but my stock has not been delivered.1","Q1a. Why is Promo not running in Outlet?/I bought the required cases of Guinness drinks this week, but I didn’t get the free airtime to give out.1",Q1a. Why is Promo not running in Outlet?/The promo has already happened in this outlet earlier today..1,"Q1a. Why is Promo not running in Outlet?/I have the free airtime, but promo will happen later this week..1",Q1a. Why is Promo not running in Outlet?/Others.1,Others specify.1,Q2_1. What time did the Promo kick off in the outlet?,Q2_2. Are Consumers winning Prizes,Q2a. Are Consumers redeeming their Prizes?,Q2b. Why are Consumers not redeeming their Prizes?,Q2b. Why are Consumers not redeeming their Prizes?/Was told prizes are not available,Q2b. Why are Consumers not redeeming their Prizes?/Not aware they will win prizes,"Q2b. Why are Consumers not redeeming their Prizes?/Don’t Know, just didn’t get the prize",Q3. What are the consumer rewards offered at the outlet,Q4. Are Promo poster Available in the outlet?,Q4a. Are Posters placed in a reasonably visible (strategically placed) location?,Q4b. Please confirm if posters are in good condition,Q4b. Please confirm if posters are in good condition/Poster is in good condition,Q4b. Please confirm if posters are in good condition/Part of Poster is torn off,"Q4b. Please confirm if posters are in good condition/Poster not properly glued/pined to the wall, board etc.",Q5. Are Brand Promoters present in the outlet?,Q5a. Are Brand Promoters dressed in the specified attire?,Q6. Are Brand Promoters actively engaging Consumers at the bar?,Q6a. Are Brand Promoters showing their knowledge of the promotion by clearly explaining winning criteria to the Consumer?,Section 2 Other KPIs,Q7. Are the Guinness drinks (FES /Smooth) served chilled in the outlet when consumers place an order?,"Q8. Kindly provide the selling price of the following brands, where applicable","Q8. Kindly provide the selling price of the following brands, where applicable.1","Q8. Kindly provide the selling price of the following brands, where applicable.2","Q8. Kindly provide the selling price of the following brands, where applicable.3","Q8. Kindly provide the selling price of the following brands, where applicable.4","Q8. Kindly provide the selling price of the following brands, where applicable.5","Q8. Kindly provide the selling price of the following brands, where applicable.6",Q9. Are there other promotions/ activations going on in this outlet?,Q9a.Please provide details of Promotions/Activations.,Any other comments,THANK RESPONDENT AND CLOSE INTERVIEW,GPS Coordinate,Cordinate-Latitude,Cordinate-Longitude,_GPS Coordinate_altitude,_GPS Coordinate_precision,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,__version__,_tags,_index,street_address,place_id
58,2024-05-10 19:40:11.614,2024-05-10 19:43:05.862,HYACINTH TERHEMBA, ,North,REAL FORTE LOUNGE,"AREA A,  NYANYA ABUJA",CK & D HOTEL,Self-Run, ,No, , , , , , , , , , , ,I bought Guinness drinks but was not up to the required cases to run a promo, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9.056077 7.5788975 0.0 0.0,9.056077,7.5788975, , ,338044936,0c319b1d-3e3f-444b-81f1-16830f56dca9,2024-05-11 13:20:30, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,59,,
1,2024-05-10 17:27:22.044,2024-05-10 17:33:19.364,Joab Jarumi Dachor , ,North,Tikado Hotel ,"Opposite Aso C junction, Gbadalape",Tikado Hotel ,Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9.0543297 7.5813964 486.90000000000003 3.916,9.0543297,7.5813964,486.9,3.916,337822676,166f76d0-3848-43d4-b93a-0e5b6a76b7a3,2024-05-10 16:33:34, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,2,,
2,2024-05-10 18:06:49.452,2024-05-10 18:15:46.376,Joab Jarumi Dachor , ,North,Stainless Garden ,Behind Chisco Transport Nigeria Limited ,NNPC Filling Station,Self-Run, ,Yes, , , , , , , , , , , , , , , , , , , , , ,6PM-7PM,Yes,Yes, , , , ,Recharge Cards ,Yes,Yes,"Poster not properly glued/pined to the wall, board etc. Poster is in good condition",1, ,1, , , , , ,Yes,800,900,900,1000,1000,1200,1200,Yes,Tiger Lager Beer ,Job completed , ,9.0297382 7.586527 459.8 4.491,9.0297382,7.586527,459.8,4.491,337834700,e54a4faa-c4bf-499b-851d-1e51f7b13440,2024-05-10 17:15:55, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,3,,
9,2024-05-10 18:36:34.561,2024-05-10 18:42:36.152,Joab Jarumi Dachor , ,North,Lala's Garden ,"No 15 Jos road, off Abacha Road ",Nelseno Hotel ,Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9.0235003 7.5861246 442.3 4.65,9.0235003,7.5861246,442.3,4.65,337841419,87d21fb8-69c1-4117-a57c-e57db98ce353,2024-05-10 17:42:49, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,10,"2 Jos Rd, Ado 900101, Federal Capital Territory, Nigeria",ChIJi7nNOssIThARZgfjRygNDqw
73,2024-05-11 19:24:15.024,2024-05-11 19:29:48.059,Ibrahim Abdulfattah Olusina , ,West,Marvelous hotel ,Asa dam road along egbejila Ilorin Kwara State ,Agaka filling station ,Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8.4537086 4.5281249 354.0 3.76,8.4537086,4.5281249,354,3.76,338117412,28c91ec0-a13b-4818-a628-191b529869d2,2024-05-11 18:45:58, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,74,"2 Dipo Akinosi Road, Ilorin 240281, Kwara, Nigeria",ChIJpQJ7QCytNxARq32Jc35Ac1k
72,2024-05-11 19:10:18.900,2024-05-11 19:12:58.754,Ibrahim Abdulfattah Olusina , ,West,Solid worth hotel ,Along asa dam egbejila road Ilorin Kwara State ,Agaka filling station ,Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8.4512711 4.5293109 367.9 4.633,8.4512711,4.5293109,367.9,4.633,338117410,cb844f88-0356-4f65-b942-e28174c3ffd9,2024-05-11 18:45:57, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,73,,
71,2024-05-11 18:34:28.364,2024-05-11 18:37:00.089,Ibrahim Abdulfattah Olusina , ,West,Triumph Hotel ,Asa dam road beside redeem Christian church of God Ilorin Kwara State ,Dangote company ,Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8.4492633 4.5444867 360.0 3.9,8.4492633,4.5444867,360,3.9,338117408,dd44b4fc-9699-401f-9549-e1d84b543b75,2024-05-11 18:45:57, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,72,,
30,2024-05-10 17:57:35.225,2024-05-10 18:10:08.703,Olalemi Samuel , ,West,Oscar cool spot ,Olaiya area Osogbo ,Alekuwodo,Self-Run, ,No, , , , , , , , , , , ,Others, , , , , , , ,1,"The Man isn't aware of any promo, and as for the signs post that shows his name, the man said it had been destroyed by heavy wind. So I only took the outside picture ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7.7889279 4.5768284 357.8999938964844 4.9,7.7889279,4.5768284,357.899993896484,4.9,337891013,6bd7645c-92a4-4402-8e48-e9d864088761,2024-05-10 21:54:36, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,31,,
31,2024-05-10 18:19:19.830,2024-05-10 18:22:30.415,Olalemi Samuel , ,West,Iyalaje cool spot ( iyalaje kitchen),"Aderin road,Iludun area Osogbo ",Iludun,Self-Run, ,No, , , , , , , , , , , ,Others, , , , , , , ,1,"The woman was so furious, that she never received any benefits from Guinness and nothing like promo as well ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7.7843714 4.5798248 357.8999938964844 5.0,7.7843714,4.5798248,357.899993896484,5,337891015,0c7bbd93-817a-4b16-ab11-f654cf1e5138,2024-05-10 21:54:36, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,32,"61 Fatoki St, Osogbo 230284, Osun, Nigeria",ChIJRcXBHWuINxARADWRXrA6LxE
32,2024-05-10 18:40:55.410,2024-05-10 18:45:05.155,Olalemi Samuel , ,West,Channel 10,"Km 23, Ilesha garage Osogbo ",Ilesha garage ,Self-Run, ,No, , , , , , , , , , , ,Others, , , , , , , ,1,He said the sign post was remove because of the government task on them. And there's no promo ongoing , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7.7408606 4.5810505 348.7 5.0,7.7408606,4.5810505,348.7,5,337891018,44b11e3b-3419-4d8e-8115-e93057d04ab4,2024-05-10 21:54:36, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,33,"3 Oshogbo - Ilesha Rd, Osogbo 230284, Osun, Nigeria",EiYzIE9zaG9nYm8gLSBJbGVzaGEgUmQsIE9zb2dibywgTmlnZXJpYSIaEhgKFAoSCctxCd_qJzgQEccHz2XGN_dpEAM
0,2024-05-10 17:00:15.886,2024-05-10 17:04:26.966,Opeyemi Oluwatobi , ,West,Platnum,"Awolowo junction, Bodija, Ibadan ","Awolowo Avenue, opposite UBA bank, Awolowo, Ibadan ",Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7.4168539 3.9104567 236.1999969482422 4.985,7.4168539,3.9104567,236.199996948242,4.985,337812561,b0a24393-5e80-4a73-bb9d-85ea4ec23422,2024-05-10 16:04:36, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,1,"1 Awolowo Ave, Mokola Hill, Ibadan 200285, Oyo, Nigeria",ChIJE37X8auSORARUtRvuqGPfOk
17,2024-05-10 17:21:35.735,2024-05-10 17:24:13.727,Opeyemi Oluwatobi , ,West,324-Net Bar (Now-Papi Emma cool spot),"By custom, Ikolaba estate road, Secretariat road, custom ","Custom office, Agidi, Ibadan ",Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo Others,1, , , , , , ,1,The name of the outlet has been changed from Net Bar to Papi Emma cool spot , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7.4136959 3.9141327 240.59999084472656 4.83,7.4136959,3.9141327,240.599990844727,4.83,337854198,7b109de0-9619-4737-80c8-5be62162137b,2024-05-10 18:26:36, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,18,"2 Olupitan St, Ikolaba Rd, Ibadan 200285, Oyo, Nigeria",ChIJ01tE-a6SORARDa89XhBgR04
18,2024-05-10 17:42:28.588,2024-05-10 17:45:08.468,Opeyemi Oluwatobi , ,West,309-Bottles Republic ,"Adjacent UCH second Gate, Secretariat road, Agodi, Ibadan ","UCH/Oyo State Secretariat, Ibadan ",Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7.4040155 3.9102443 245.5 4.283,7.4040155,3.9102443,245.5,4.283,337854202,c122c2d5-d2c9-4c27-a701-a9f5e7b63841,2024-05-10 18:26:37, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,19,,
4,2024-05-10 18:00:47.362,2024-05-10 18:22:38.690,Opeyemi bamidele, ,West,Alebi moon Citi hotel,Opp king and queen college old ife road ibadan,King and queen college,Self-Run, ,No, , , , , , , , , , , ,Others, , , , , , , ,1,I don't know anything about promo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7.39198 3.9334988 0.0 2299.999,7.39198,3.9334988, ,2299.999,337836505,021f3a15-e6a1-4f8a-aee4-dbe0b64bfe17,2024-05-10 17:23:19, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,5,"2 Rd 511, Ibadan 200113, Oyo, Nigeria",ChIJYbSTku6SORARhogoGovSyos
12,2024-05-10 19:09:27.690,2024-05-10 19:19:19.974,Opeyemi bamidele, ,West,328-Jeun soke,Opp prizetol filling station yemetu aladorin ibadan,First bank,Self-Run, ,No, , , , , , , , , , , ,Others, , , , , , , ,1,Guinness protect is not fast in this area, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7.3909015 3.9026073 0.0 1000.0,7.3909015,3.9026073, ,1000,337852332,1b20976b-2490-47a0-8adf-7da87e4521ec,2024-05-10 18:19:34, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,13,"5 Salem St, Ibadan 200285, Oyo, Nigeria",Ehs1IFNhbGVtIFN0LCBJYmFkYW4sIE5pZ2VyaWEiGhIYChQKEgk7PzlpY405EBHvfo5Rz4UwxhAF
43,2024-05-10 18:27:17.189,2024-05-10 18:34:46.485,Abideen , ,West,194. Sir P,"Opposite Arocom junction, Olomore, Abeokuta (Opposite Sadeep Mega Petroleum Filling station, Olomore, Abeokuta)",Sadeep Mega Petroleum Filling station,Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7.1487182 3.3119828 -54.605 3.9,7.1487182,3.3119828,-54.605,3.9,337933946,4149fea0-83cd-4a5a-bc20-d68dc46405e7,2024-05-11 05:34:09, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,44,"100 Federal Housing Estate Road, Abeokuta 111105, Ogun State, Nigeria",EjIxMDAgRmVkZXJhbCBIb3VzaW5nIEVzdGF0ZSBSb2FkLCBBYmVva3V0YSwgTmlnZXJpYSIaEhgKFAoSCeOfka45TDoQEUVd6lRViGR2EGQ
44,2024-05-10 19:26:20.007,2024-05-10 19:47:45.305,Abideen , ,West,87. KS Place Bar,"Lalubu street, Beside Diamond bank, Oke Ilewo, Abeokuta (Lalubu street, beside Access Bank, Oke Ilewo, Abeokuta)",Access bank,BA Led Outlets, ,Yes, , , , , , , , , , , , , , , , , , , , , ,5PM-6PM,Yes,Yes, , , , ,One bottle free,No, , , , , ,Yes,Yes,Yes,Yes, ,Yes,700,1000,1000,1200,700,1000,1000,No, ,Successfully checked, ,7.1356436 3.3369001 94.20000457763672 6.176,7.1356436,3.3369001,94.2000045776367,6.176,337933947,6c9ca1d8-0b55-47a1-b2e3-f1312f70cb77,2024-05-11 05:34:09, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,45,"16 LALUBU STREET OKE-ILEWO, Ibara, Abeokuta 111102, Ogun State, Nigeria",EjQxNiBMQUxVQlUgU1RSRUVUIE9LRS1JTEVXTywgSWJhcmEsIEFiZW9rdXRhLCBOaWdlcmlhIhoSGAoUChIJBTHvmndMOhARWJgHgHS-6T0QEA
42,2024-05-10 17:40:51.565,2024-05-10 17:45:53.358,Abideen , ,West,195. Dementors Bar,"Opeoluwa road, close to Bayak Filling station (Opeoluwa road, close to Bayak Filling station, Ita Oshin)",Bayak Filling station ,Self-Run, ,No, , , , , , , , , , , ,Others, , , , , , , ,1,"We are not planning any promo for this weekend. We've done some promos in the past like Smirnoff and Goldberg but for now, no promo", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7.1356292 3.3046894 108.686 3.9,7.1356292,3.3046894,108.686,3.9,337933944,4c619302-3c30-4dc4-b06f-c1c84b4fc755,2024-05-11 05:34:08, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,43,,
45,2024-05-10 20:03:57.095,2024-05-10 20:06:05.742,Abideen , ,West,192. Royal Mandarin ,"Micron close, beside NUT complex, Abeokuta",NUT Complex,Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7.1312892 3.3529537 120.30000305175781 3.9,7.1312892,3.3529537,120.300003051758,3.9,337933950,efc6d2c7-fe50-4c49-96f3-c8fa1edbaee0,2024-05-11 05:34:10, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,46,,
41,2024-05-10 17:01:40.164,2024-05-10 17:09:28.756,Abideen , ,West,196. ST. Sanyaolu Hotel ,"Beside SARS Office, Obada, Abeokuta",SARS Office,Self-Run, ,No, , , , , , , , , , , ,Others, , , , , , , ,1,None of my bosses has informed me about any promo coming up soon, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7.0744644 3.2928495 90.9000015258789 8.217,7.0744644,3.2928495,90.9000015258789,8.217,337933943,af85ccac-0810-4dc9-b0f2-2862c8f9ed26,2024-05-11 05:34:08, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,42,,
20,2024-05-10 18:08:32.053,2024-05-10 18:14:51.284,Chika , ,Lagos,Miyaky  Garden ,53/54 danni Balogun street off Abule egba ,Opposite obkas hotel & suits ,Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo I bought Guinness drinks but was not up to the required cases to run a promo,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.6646863 3.3062629 73.1 4.04,6.6646863,3.3062629,73.1,4.04,337861210,1489039a-5127-42fe-b31d-5d7459ff2fa5,2024-05-10 18:57:35, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,21,"50 Olawale Jegede St, Ifako-Ijaiye, Agege 101232, Lagos, Nigeria",ChIJ71f3hdqWOxARsdli25CzK_8
22,2024-05-10 19:04:31.795,2024-05-10 19:07:49.708,Chika , ,Lagos,Platinum lounge ,3 chief adeominuga street off charity roads ,Holy Ebenezer church ,Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.6534674 3.3111695 69.5 6.92,6.6534674,3.3111695,69.5,6.92,337861214,a1d24fd1-039c-42bd-a687-2bb6c9926f09,2024-05-10 18:57:37, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,23,"1 Social Club Road, Ifako-Ijaiye, Lagos 101232, Lagos, Nigeria",EjAxIFNvY2lhbCBDbHViIFJvYWQsIElmYWtvLUlqYWl5ZSwgTGFnb3MsIE5pZ2VyaWEiGhIYChQKEgnzWwkmzZY7EBFdBWdiW_FPpBAB
21,2024-05-10 18:47:07.582,2024-05-10 18:49:23.112,Chika , ,Lagos,Lounge 526,46 Charity road 52 progress college ,Opposite grand shopping mall,Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo I didn’t buy the Guinness FES/Smooth this week,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.6524501 3.3105683 80.1 3.94,6.6524501,3.3105683,80.1,3.94,337861211,70fe5a22-c80e-484b-9d3c-277289efc595,2024-05-10 18:57:36, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,22,"58 Charity Rd, Ifako-Ijaiye, Lagos 101232, Lagos, Nigeria",ChIJ51Mf0jKROxARK4md0Vw8-8E
14,2024-05-10 17:51:04.815,2024-05-10 19:22:35.880,Fabulous, ,Lagos,Best Choice Bar,"Dele Ogundele Street, Oregun Ikeja",Oregun bus stop,Self-Run, ,No, , , , , , , , , , , ,Others, , , , , , , ,1,She coming back to tell her how to do it., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.6354564 3.3453362 51.5 4.925,6.6354564,3.3453362,51.5,4.925,337853134,76988932-2040-498c-b86b-31f7b6aa26d7,2024-05-10 18:22:58, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,15,"1b Isheri Rd, Ogba, Lagos 100218, Lagos, Nigeria",ChIJHy_yk-aTOxARg-KVO9XFWEU
15,2024-05-10 18:36:06.175,2024-05-10 19:12:05.963,Fabulous, ,Lagos,Oregun Pleasure Garden,"14, Olarenwaju Street Oregun Ikeja",Oregun Bus Stop,Self-Run, ,No, , , , , , , , , , , ,Others, , , , , , , ,1,"They just post the banner here, said they are coming back.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.6233526 3.3526896 54.1 5.0,6.6233526,3.3526896,54.1,5,337853143,3ecf30ae-87b7-4619-8b0e-348d830995e7,2024-05-10 18:22:59, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,16,"21 Hakeem Balogun St, Alausa, Ikeja 101233, Lagos, Nigeria",ChIJP7xISsSTOxAR5khBlt1g2kk
60,2024-05-11 17:11:53.069,2024-05-11 17:41:46.938,Fabulous, ,Lagos,Neighbors Bar,"Abeokuta Street, Behind Agege Stadium ",Agege Stadium,BA Led Outlets, ,Yes, , , , , , , , , , , , , , , , , , , , , ,5PM-6PM,Yes,Yes, , , , ,"Free drink, Recharge cards,",Yes,Yes,Poster is in good condition,1, , ,Yes,Yes,Yes,Yes, ,Yes,600,800,800,1200,600,800,800,No, ,The promo started by 4pm., ,6.6230356 3.3311052 39.3 4.9,6.6230356,3.3311052,39.3,4.9,338094465,9eada5d3-056b-4cdf-a092-07f9466adafc,2024-05-11 16:41:59, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,61,"2 Abeokuta St, Agege, Lagos 102212, Lagos, Nigeria",ChIJzdalAWWROxARckhBrMLDmfs
13,2024-05-10 17:23:57.613,2024-05-10 17:30:59.064,Fabulous, ,Lagos,Emkay Guest House,"1, Tiamiyu Stteey, Oregun Ikeja",Oregun High School,Self-Run, ,No, , , , , , , , , , , ,Others, , , , , , , ,1,They have not seen the people that will educate them on how to go about it., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.5974509 3.3662445 7.8 4.92,6.5974509,3.3662445,7.8,4.92,337853124,0944a0f6-b853-4a39-b8e9-51adcea4c73d,2024-05-10 18:22:56, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,14,"1 Tairu Olugbani St, Allen, Ikeja 101233, Lagos, Nigeria",ChIJ92WmokWSOxARKDpnxHCb3DE
80,2024-05-10 17:37:52.888,2024-05-11 20:49:48.344,OLAEGBE TEMITOPE, ,Lagos,NSPRI GUEST HOUSE,"28, Olarewaju street Akoka Lagos ",Akoka Lagos ,Self-Run, ,No, , , , , , , , , , , ,Others, , , , , , , ,1,"The address is church premises
Can't locate ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.5304178 3.3891154 30.19999885559082 4.983,6.5304178,3.3891154,30.1999988555908,4.983,338135956,b3d38d9a-3ffc-4900-bd2c-c74ec89991bc,2024-05-11 21:09:27, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,81,"28 Folorunsho St, Akoka, Lagos 102216, Lagos, Nigeria",ChIJpfYgswSNOxAR4e72yoWqWvo
75,2024-05-10 16:09:17.304,2024-05-11 20:39:45.616,OLAEGBE TEMITOPE, ,Lagos,Madam harson,"22, shobande street Akoka Lagos ",Chemist bus stop ,Self-Run, ,No, , , , , , , , , , , ,Others, , , , , , , ,1,The place has been demolished , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.5287264 3.3864671 33.20000076293945 4.76,6.5287264,3.3864671,33.2000007629395,4.76,338135940,ad865ede-aa55-4765-bfe5-d7984e074b20,2024-05-11 21:09:20, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,76,"22 Shobande St, Akoka, Lagos 100001, Lagos, Nigeria",ChIJDbktmgONOxARJP4-Yd_pfco
76,2024-05-10 16:35:39.394,2024-05-11 20:42:18.176,OLAEGBE TEMITOPE, ,Lagos,Total filling station ,Finbarrs road Akoka Lagos ,Chemist bus stop Akoka Lagos ,Self-Run, ,No, , , , , , , , , , , ,Others, , , , , , , ,1,They are not selling Guinness , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.5285467 3.3867896 33.29999923706055 3.6,6.5285467,3.3867896,33.2999992370605,3.6,338135942,fc1e9e52-b3fa-4cd8-ac05-91b35b898811,2024-05-11 21:09:22, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,77,"65 St Finbarr's College Rd, Akoka, Lagos 100001, Lagos, Nigeria",ChIJkfHzdQONOxAR2zuD9J8OH1o
78,2024-05-10 16:55:10.584,2024-05-11 20:46:48.391,OLAEGBE TEMITOPE, ,Lagos,Lilly Best sup,"18,  Oyenga street Akoka Lagos ",Akoka ,Self-Run, ,No, , , , , , , , , , , ,Others, , , , , , , ,1,Can't locate , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.5247327 3.3864049 30.19999885559082 4.56,6.5247327,3.3864049,30.1999988555908,4.56,338135946,b346f5c5-a2bf-493c-a5d9-4430817c90a5,2024-05-11 21:09:24, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,79,"7 Oyenuga St, Akoka, Lagos 100001, Lagos, Nigeria",ChIJ832gfAKNOxARrtpUs8XsQIs
77,2024-05-10 16:53:45.649,2024-05-11 20:45:41.959,OLAEGBE TEMITOPE , ,Lagos,Alhaji oya 546,23 Oyenga street Akoka Lagos ,Chemist bus stop Akoka Lagos ,Self-Run, ,No, , , , , , , , , , , ,Others, , , , , , , ,1,"Can't locate
No outlets in that house ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.5246911 3.3863971 28.799999237060547 4.816,6.5246911,3.3863971,28.7999992370605,4.816,338135943,f5663d23-3210-4c2b-be2b-f6f36eeb23ee,2024-05-11 21:09:23, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,78,"5 Chief Bright Oridami St, Akoka, Lagos 100001, Lagos, Nigeria",ChIJYTHdfgKNOxAR6-hrTSWMuTs
79,2024-05-10 17:08:11.482,2024-05-11 20:48:25.253,OLAEGBE TEMITOPE, ,Lagos,"D, Fun mercy","5, chief bright ridami street  Akoka Lagos ",Akoka Lagos ,Self-Run, ,No, , , , , , , , , , , ,Others, , , , , , , ,1,Can't locate , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.5244291 3.3862245 31.19999885559082 4.14,6.5244291,3.3862245,31.1999988555908,4.14,338135949,1ddeb27d-aa9e-4c17-904c-7e8d0546c1da,2024-05-11 21:09:25, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,80,"7 Moronfolu St, Akoka, Lagos 102216, Lagos, Nigeria",ChIJg8qEh_2MOxARGg1FhMSszEg
