,hoi,end,Interviewer Name,Part 1 – Outlet Information,S1. City/Division,S2. Name of Outlet,S3. Outlet Address,S4. Land Mark,S5. Outlet Type,Part 2 – Main Questionnaire,Q1. Is Promo running in outlet?,Q1a. Why is Promo not running in Outlet?,Q1a. Why is Promo not running in Outlet?/Not Aware of Promo,Q1a. Why is Promo not running in Outlet?/I didn’t buy the Guinness FES/Smooth this week,Q1a. Why is Promo not running in Outlet?/I bought Guinness drinks but was not up to the required cases to run a promo,"Q1a. Why is Promo not running in Outlet?/I bought Guinness drinks, but my stock has not been delivered","Q1a. Why is Promo not running in Outlet?/I bought the required cases of Guinness drinks this week, but I didn’t get the free airtime to give out",Q1a. Why is Promo not running in Outlet?/The promo has already happened in this outlet earlier today.,"Q1a. Why is Promo not running in Outlet?/I have the free airtime, but promo will happen later this week.",Q1a. Why is Promo not running in Outlet?/BA was not available,Q1a. Why is Promo not running in Outlet?/Others,Others specify,Q1a. Why is Promo not running in Outlet?.1,Q1a. Why is Promo not running in Outlet?/Not Aware of Promo.1,Q1a. Why is Promo not running in Outlet?/I didn’t buy the Guinness FES/Smooth this week.1,Q1a. Why is Promo not running in Outlet?/I bought Guinness drinks but was not up to the required cases to run a promo.1,"Q1a. Why is Promo not running in Outlet?/I bought Guinness drinks, but my stock has not been delivered.1","Q1a. Why is Promo not running in Outlet?/I bought the required cases of Guinness drinks this week, but I didn’t get the free airtime to give out.1",Q1a. Why is Promo not running in Outlet?/The promo has already happened in this outlet earlier today..1,"Q1a. Why is Promo not running in Outlet?/I have the free airtime, but promo will happen later this week..1",Q1a. Why is Promo not running in Outlet?/Others.1,Others specify.1,Q2_1. What time did the Promo kick off in the outlet?,Q2_2. Are Consumers winning Prizes,Q2a. Are Consumers redeeming their Prizes?,Q2b. Why are Consumers not redeeming their Prizes?,Q2b. Why are Consumers not redeeming their Prizes?/Was told prizes are not available,Q2b. Why are Consumers not redeeming their Prizes?/Not aware they will win prizes,"Q2b. Why are Consumers not redeeming their Prizes?/Don’t Know, just didn’t get the prize",Q3. What are the consumer rewards offered at the outlet,Q4. Are Promo poster Available in the outlet?,Q4a. Are Posters placed in a reasonably visible (strategically placed) location?,Q4b. Please confirm if posters are in good condition,Q4b. Please confirm if posters are in good condition/Poster is in good condition,Q4b. Please confirm if posters are in good condition/Part of Poster is torn off,"Q4b. Please confirm if posters are in good condition/Poster not properly glued/pined to the wall, board etc.",Q5. Are Brand Promoters present in the outlet?,Q5a. Are Brand Promoters dressed in the specified attire?,Q6. Are Brand Promoters actively engaging Consumers at the bar?,Q6a. Are Brand Promoters showing their knowledge of the promotion by clearly explaining winning criteria to the Consumer?,Section 2 Other KPIs,Q7. Are the Guinness drinks (FES /Smooth) served chilled in the outlet when consumers place an order?,"Q8. Kindly provide the selling price of the following brands, where applicable","Q8. Kindly provide the selling price of the following brands, where applicable.1","Q8. Kindly provide the selling price of the following brands, where applicable.2","Q8. Kindly provide the selling price of the following brands, where applicable.3","Q8. Kindly provide the selling price of the following brands, where applicable.4","Q8. Kindly provide the selling price of the following brands, where applicable.5","Q8. Kindly provide the selling price of the following brands, where applicable.6",Q9. Are there other promotions/ activations going on in this outlet?,Q9a.Please provide details of Promotions/Activations.,Any other comments,THANK RESPONDENT AND CLOSE INTERVIEW,GPS Coordinate,Cordinate-Latitude,Cordinate-Longitude,_GPS Coordinate_altitude,_GPS Coordinate_precision,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,__version__,_tags,_index,street_address,place_id
61,2024-05-11 17:51:39.819,2024-05-11 17:58:47.806,Nuhu adaba, ,North,1759 bar,Sangere bode,Numan road,BA Led Outlets, ,Yes, , , , , , , , , , , , , , , , , , , , , ,5PM-6PM,Yes,Yes, , , , ,Recharge card and buy two to get one,Yes,Yes,Poster is in good condition,1, , ,Yes,Yes,Yes,Yes, ,Yes,600,800,800,900,700,900,700,No, ,No any other promotion going on, ,9.2668029 12.4462795 198.6 4.95,9.2668029,12.4462795,198.6,4.95,338098292,be1ccc09-c4fb-4a86-933c-0085556cb296,2024-05-11 16:58:55, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,62,"2 Bank Road, opposite Lamido cinema, Yola, Jimeta 640101, Adamawa, Nigeria",ChIJiwHgFjFr_BARvrQNcAT8Sd8
11,2024-05-10 18:56:45.894,2024-05-10 19:01:58.513,Matsunde Paul, ,North,Ibom plaza,Bachure jimeta yola,Army barracks gate,Self-Run, ,Yes, , , , , , , , , , , , , , , , , , , , , ,7PM-8PM,Yes,Yes, , , , ,Recharge card,No, , , , , , , , , , ,Yes,600,800,800,900,650,800,700,No, ,No any other promotion going on here, ,9.2582809 12.4223354 173.5 4.98,9.2582809,12.4223354,173.5,4.98,337847166,ac5ea2eb-bcea-451b-978b-b5fc189edef8,2024-05-10 18:02:22, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,12,,
34,2024-05-10 22:00:13.003,2024-05-10 22:03:43.800,ADAGBA ISAAC , ,North,NEXT LEVEL ,ZONE 6 WUSE ,High court,Self-Run, ,No, , , , , , , , , , , ,I didn’t buy the Guinness FES/Smooth this week Not Aware of Promo,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9.0694664 7.4593885 488.6000061035156 4.756,9.0694664,7.4593885,488.600006103516,4.756,337891425,199b4531-cfbe-46ae-97ee-824a06ee9a4e,2024-05-10 21:57:10, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,35,"blk11 Maseru St, Wuse, Abuja 904101, Federal Capital Territory, Nigeria",ChIJI34jAOAKThAR0Vy_PtyMW5I
35,2024-05-10 22:51:34.169,2024-05-10 22:56:32.960,ADAGBA ISAAC , ,North,TAMARA GUEST INN,No 9 IDIMBA STREET OFF ABIJAN STREET ZONE 3 WUSE,Neighbourhood plaza,Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9.0606898 7.4724772 511.6999816894531 3.9,9.0606898,7.4724772,511.699981689453,3.9,337891429,12dc8761-077c-44c5-9f81-5d676feb05d7,2024-05-10 21:57:11, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,36,"9 Abijan St, Wuse, Abuja 904101, Federal Capital Territory, Nigeria",ChIJq1prHwULThARKsit0BsjFN4
33,2024-05-10 21:08:52.384,2024-05-10 21:14:24.448,ADAGBA ISAAC , ,North,ONATRIX ( PAL EXCELLENCE WATER FALL PARK),"AFTER IBRO HOTEL, MICHAEL OPARA WAY ZONE 5",CLOSE TO IBRO HOTEL ,Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9.05805 7.4575267 473.459 3.9,9.05805,7.4575267,473.459,3.9,337891424,ef4fd966-f9a8-410e-a06c-75314e89088d,2024-05-10 21:57:07, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,34,"2044 Michael Okpara St, Wuse, Abuja 904101, Federal Capital Territory, Nigeria",EiwyMDQ0IE1pY2hhZWwgT2twYXJhIFN0LCBXdXNlLCBBYnVqYSwgTmlnZXJpYSIbEhkKFAoSCVtBwEs9C04QEXPdNmrFe21yEPwP
53,2024-05-10 18:31:18.878,2024-05-10 18:32:33.407,Jerry Etim , ,North,10:30 Royal ,Aso Road Mararaba ,Aso B,Self-Run, ,No, , , , , , , , , , , ,Others, , , , , , , ,1,Has no idea , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9.056077 7.5788975 0.0 0.0,9.056077,7.5788975, , ,338007343,116e259a-3644-4cae-9900-f8bd7b8b3733,2024-05-11 10:59:25, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,54,,
54,2024-05-10 19:35:17.348,2024-05-10 19:37:28.910,Jerry Etim , ,North,Hot plus Kafi ,Abacha Road Mararaba ,Abacha Road ,Self-Run, ,No, , , , , , , , , , , ,Others, , , , , , , ,1,Attendant replied no promo , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9.056077 7.5788975 0.0 0.0,9.056077,7.5788975, , ,338007347,76d33efd-64ab-48a6-9af6-2085779c5968,2024-05-11 10:59:26, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,55,,
55,2024-05-10 20:14:18.346,2024-05-10 20:15:30.365,Jerry Etim , ,North,"Nwayinawka Bar
",Eco bank Nyanya ,Nyanya ,Self-Run, ,No, , , , , , , , , , , ,Others, , , , , , , ,1,No idea , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9.056077 7.5788975 0.0 0.0,9.056077,7.5788975, , ,338007362,0ae5fc1e-c8c9-46b7-8bc8-30a4c2bba14b,2024-05-11 10:59:29, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,56,,
56,2024-05-10 18:40:51.394,2024-05-10 18:42:57.246,HYACINTH TERHEMBA, ,North,A Z SPOT & LOUNGE,Opposite ECO BANK NYANYA ABUJA,ECO BANK,Self-Run, ,No, , , , , , , , , , , ,Others, , , , , , , ,1,Not aware of any on going promo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9.056077 7.5788975 0.0 0.0,9.056077,7.5788975, , ,338044930,2d4973c9-5f7a-49ea-8cc9-fd964c9c0d5c,2024-05-11 13:20:28, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,57,,
57,2024-05-10 18:57:33.302,2024-05-10 19:11:52.563,HYACINTH TERHEMBA, ,North,C K & D HOTEL ,"AREA A, JUNCTION NYANYA ABUJA",AREA A JUNCTION,Self-Run, ,No, , , , , , , , , , , ,I bought Guinness drinks but was not up to the required cases to run a promo, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9.056077 7.5788975 0.0 0.0,9.056077,7.5788975, , ,338044932,0ef9d2cb-78e5-404b-ac19-f9160f56dade,2024-05-11 13:20:29, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,58,,
